Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,136.3449,-96.6351,0.0,top
C2,10uF,C_0603_1608Metric,136.1399,-100.6351,0.0,top
C3,0.01uF,C_0402_1005Metric,157.8449,-108.6651,0.0,top
C4,2.2uF,C_0402_1005Metric,157.8449,-105.1351,0.0,top
C5,10uF,C_0603_1608Metric,169.5899,-100.1351,0.0,top
D1,LED,LED_0603_1608Metric,169.5774,-92.1451,0.0,top
D2,LED,LED_0805_2012Metric,161.8024,-92.1351,0.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,129.1399,-95.8501,0.0,top
J2,Conn_01x02_Male,JST_JWPF_B02B-JWPF-SK-R_1x02_P2.00mm_Vertical,145.65,-89.45,0.0,top
R1,1k,R_0402_1005Metric,159.3649,-87.1451,90.0,top
R2,1k,R_0402_1005Metric,155.3649,-87.1251,90.0,top
R3,1K,R_0402_1005Metric,154.8749,-94.6351,0.0,top
R4,1K,R_0402_1005Metric,154.8749,-97.6351,0.0,top
R5,10k,R_0402_1005Metric,154.8749,-101.1351,0.0,top
TP1,TestPoint,TestPoint_THTPad_D1.0mm_Drill0.5mm,161.3649,-98.6351,0.0,top
TP2,TestPoint,TestPoint_THTPad_D1.5mm_Drill0.7mm,166.8649,-87.1351,0.0,top
U1,TP4056,SOP127P600X175-9N,145.8399,-98.2301,0.0,top
U2,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,146.1149,-106.1351,0.0,top
