Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;4.7u;CP_Radial_D5.0mm_P2.00mm;126.939477;-86.36;0.0;top
C2;0.1u;CP_Radial_D5.0mm_P2.00mm;139.639477;-86.36;0.0;top
C3;0.1u;CP_Radial_D5.0mm_P2.00mm;152.339477;-86.36;0.0;top
C4;4.7u;CP_Radial_D5.0mm_P2.00mm;165.039477;-86.36;0.0;top
D1;TSAL6200;LEDRD254W55D595H900;110.204365;-66.3875;90.0;top
D2;TSAL6200;LEDRD254W55D595H900;136.526865;-58.42;0.0;top
D3;TSAL6200;LEDRD254W55D595H900;154.306865;-58.42;0.0;top
D4;TSAL6200;LEDRD254W55D595H900;178.784365;-67.6575;90.0;top
J1;Conn_02x14_Top_Bottom;JST_PHD_B28B-PHDSS_2x14_P2.00mm_Vertical;145.621865;-102.6;0.0;top
Q1;2N3904;TO92127P495H495-3;117.856795;-69.85;90.0;top
Q2;2N3904;TO92127P495H495-3;144.494365;-73.69243;0.0;top
Q3;2N3904;TO92127P495H495-3;171.131935;-69.85;-90.0;top
Q4;TEFT4300;XDCR_TEFT4300;110.204365;-73.9475;90.0;top
Q5;TEFT4300;XDCR_TEFT4300;145.476865;-58.42;0.0;top
Q6;TEFT4300;XDCR_TEFT4300;178.784365;-75.2175;90.0;top
R1;220;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;115.284365;-64.545;-90.0;top
R2;100;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;122.904365;-74.705;-90.0;top
R3;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;122.904365;-67.535;90.0;top
R4;100;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;136.649365;-73.66;0.0;top
R5;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;151.889365;-73.66;0.0;top
R6;220;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;136.649365;-66.04;0.0;top
R7;220;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;151.889365;-66.04;0.0;top
R8;100;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;166.084365;-64.545;-90.0;top
R9;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;166.084365;-72.615;90.0;top
R10;220;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;173.704365;-64.545;-90.0;top
R11;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;115.284365;-77.695;90.0;top
R12;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;144.269365;-66.04;0.0;top
R13;10k;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;173.704365;-75.155;90.0;top
