Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.6575,-106.68,0.0,top
C2,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.0575,-106.68,0.0,top
D1,TSAL6200,LEDRD254W55D595H900,114.3,-95.5975,90.0,top
D2,TSAL6200,LEDRD254W55D595H900,153.3225,-93.98,0.0,top
D3,TSAL6200,LEDRD254W55D595H900,180.34,-95.5975,90.0,top
J1,Conn_02x14_Top_Bottom,JST_PHD_B28B-PHDSS_2x14_P2.00mm_Vertical,147.9375,-113.3,0.0,top
Q1,MMBT5551,SOT23-3,120.48,-99.06,0.0,top
Q2,MMBT5551,SOT23-3,150.81,-100.16,-90.0,top
Q3,MMBT5551,SOT23-3,176.26,-99.06,180.0,top
Q4,TEFT4300,XDCR_TEFT4300,114.3,-103.1575,90.0,top
Q5,TEFT4300,XDCR_TEFT4300,147.0325,-93.98,0.0,top
Q6,TEFT4300,XDCR_TEFT4300,180.34,-101.8875,90.0,top
R1,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,122.965,-93.98,0.0,top
R2,100,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,120.425,-104.14,0.0,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,127.0,-100.555,90.0,top
R4,100,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,147.32,-100.555,90.0,top
R5,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,154.94,-100.555,90.0,top
R6,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,160.02,-98.015,90.0,top
R8,100,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,172.72,-100.105,-90.0,top
R9,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,175.26,-108.175,90.0,top
R10,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,172.72,-92.485,-90.0,top
R11,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,115.795,-109.22,180.0,top
R12,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,142.24,-97.565,-90.0,top
R13,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,180.34,-108.175,90.0,top
